Bandit,Reward,Algorithm
3,4.545435200038565,ThompsonSamplingBandit
3,3.5353364211374756,ThompsonSamplingBandit
3,3.215972898447972,ThompsonSamplingBandit
3,4.5961934613626605,ThompsonSamplingBandit
3,4.1186481933779975,ThompsonSamplingBandit
3,6.034835649458991,ThompsonSamplingBandit
3,5.108579312167023,ThompsonSamplingBandit
3,3.5720884133623096,ThompsonSamplingBandit
3,4.349165815994452,ThompsonSamplingBandit
3,4.061553799965295,ThompsonSamplingBandit
3,4.358713346024345,ThompsonSamplingBandit
3,4.804315392037916,ThompsonSamplingBandit
3,3.769763400248522,ThompsonSamplingBandit
3,3.3648830051072776,ThompsonSamplingBandit
3,4.678175983508095,ThompsonSamplingBandit
3,3.7747023150710195,ThompsonSamplingBandit
3,4.453783771613924,ThompsonSamplingBandit
3,5.520854428099271,ThompsonSamplingBandit
3,4.184281057938488,ThompsonSamplingBandit
3,4.4949117849016895,ThompsonSamplingBandit
3,2.738419872924196,ThompsonSamplingBandit
3,4.005408484275268,ThompsonSamplingBandit
3,4.585154490032854,ThompsonSamplingBandit
3,3.714625441546959,ThompsonSamplingBandit
3,6.7307368502701586,ThompsonSamplingBandit
3,4.1942379870895,ThompsonSamplingBandit
3,3.990103260162312,ThompsonSamplingBandit
3,5.8834190542124265,ThompsonSamplingBandit
3,2.4374741753098235,ThompsonSamplingBandit
3,5.272948225207397,ThompsonSamplingBandit
3,2.680470731511969,ThompsonSamplingBandit
3,2.17278776646182,ThompsonSamplingBandit
3,3.3647156225369588,ThompsonSamplingBandit
3,1.7200299365089315,ThompsonSamplingBandit
3,2.982415657441882,ThompsonSamplingBandit
3,4.535375311900169,ThompsonSamplingBandit
3,5.084854647375996,ThompsonSamplingBandit
3,5.260080156975439,ThompsonSamplingBandit
3,4.403589362061581,ThompsonSamplingBandit
3,3.7029003626202175,ThompsonSamplingBandit
3,3.6665924621790387,ThompsonSamplingBandit
3,3.8911513911783695,ThompsonSamplingBandit
3,3.5219859252072614,ThompsonSamplingBandit
3,2.739751749355291,ThompsonSamplingBandit
3,2.673755066231191,ThompsonSamplingBandit
3,5.242099963547209,ThompsonSamplingBandit
3,2.7326369638922614,ThompsonSamplingBandit
3,4.305227711028572,ThompsonSamplingBandit
3,3.114217177101483,ThompsonSamplingBandit
3,3.822455245378942,ThompsonSamplingBandit
3,2.7406885579289435,ThompsonSamplingBandit
3,5.1279989705268045,ThompsonSamplingBandit
3,2.3621275793098864,ThompsonSamplingBandit
3,4.825891031816524,ThompsonSamplingBandit
